patient_id,traffic_source,device
378,Organic Search,Android 11.0
379,Google Ads,IOS 17.0
380,Direct,IOS 16.5
381,Apple Ads,IOS 17.1
382,Referral,Android 8.3
383,Referral,IOS 15.1
384,Referral,IOS 14.3
385,Direct,IOS 18.4
386,Referral,IOS 17.0
387,Referral,IOS 17.0
388,Direct,IOS 14.1
389,Apple Ads,IOS 18.2
390,Meta Ads,IOS 17.3
391,Direct,IOS 13.2
392,Direct,IOS 14.2
393,Direct,IOS 15.5
394,Referral,Android 9.2
395,Direct,IOS 13.4
396,Google Ads,Android 9.4
397,Direct,Android 10.3
398,Apple Ads,IOS 15.3
399,Referral,IOS 18.0
400,Referral,Android 9.1
401,Meta Ads,Android 8.2
402,Direct,Android 10.0
403,Organic Search,IOS 14.1
404,Direct,Android 10.2
405,Organic Search,IOS 16.3
406,Direct,Android 12.2
407,Google Ads,IOS 14.3
408,Organic Search,IOS 16.0
409,Direct,Android 10.1
410,Google Ads,IOS 13.0
411,Referral,IOS 15.1
412,Organic Search,IOS 12.0
413,Referral,IOS 13.4
414,Referral,Android 11.0
415,Google Ads,Android 12.0
416,Direct,IOS 17.4
417,Organic Search,Android 9.3
418,Referral,Android 9.0
419,Meta Ads,Android 9.5
420,Meta Ads,IOS 14.4
421,Organic Search,IOS 12.2
422,Organic Search,Android 12.1
423,Organic Search,IOS 18.5
424,Meta Ads,Android 11.0
425,Google Ads,IOS 18.4
426,Referral,IOS 16.1
427,Referral,IOS 14.5
428,Organic Search,IOS 18.5
429,Meta Ads,Android 8.2
430,Referral,Android 10.3
431,Direct,Android 12.0
432,Referral,Android 12.4
433,Direct,IOS 16.3
434,Apple Ads,IOS 17.1
435,Organic Search,Android 10.5
436,Referral,Android 12.1
437,Apple Ads,IOS 13.3
438,Meta Ads,Android 8.4
439,Meta Ads,Android 9.5
440,Referral,IOS 12.4
441,Apple Ads,IOS 17.1
442,Apple Ads,IOS 12.5
443,Referral,Android 12.4
444,Google Ads,IOS 14.1
445,Referral,IOS 16.1
446,Apple Ads,IOS 17.1
447,Organic Search,Android 9.2
448,Referral,Android 8.5
449,Google Ads,Android 11.1
450,Direct,IOS 15.0
451,Referral,IOS 16.5
452,Referral,IOS 12.4
453,Referral,Android 12.0
454,Organic Search,IOS 16.0
455,Direct,IOS 18.3
456,Direct,Android 11.0
457,Direct,IOS 16.1
458,Referral,IOS 18.2
459,Direct,Android 9.2
460,Direct,IOS 17.4
461,Organic Search,IOS 13.3
462,Apple Ads,IOS 17.1
463,Direct,IOS 15.5
464,Organic Search,IOS 15.2
465,Referral,IOS 17.1
466,Meta Ads,IOS 17.5
467,Direct,IOS 16.3
468,Apple Ads,IOS 17.1
469,Organic Search,IOS 16.4
470,Apple Ads,IOS 17.1
471,Direct,Android 8.0
472,Apple Ads,IOS 17.1
473,Meta Ads,IOS 14.4
474,Organic Search,Android 10.5
475,Meta Ads,Android 8.3
476,Referral,Android 12.0
477,Meta Ads,IOS 13.5
478,Direct,IOS 15.4
479,Meta Ads,IOS 17.0
480,Organic Search,Android 11.4
481,Referral,Android 10.5
482,Apple Ads,IOS 16.1
483,Referral,IOS 16.3
484,Organic Search,Android 9.3
485,Direct,IOS 13.2
486,Meta Ads,IOS 18.4
487,Referral,Android 11.4
488,Google Ads,Android 8.2
489,Apple Ads,IOS 14.1
490,Organic Search,IOS 18.1
491,Direct,Android 9.0
492,Organic Search,Android 8.4
493,Google Ads,Android 12.2
494,Direct,IOS 13.4
495,Organic Search,Android 9.3
496,Google Ads,IOS 18.3
497,Direct,IOS 14.2
498,Organic Search,IOS 16.4
499,Direct,Android 8.4
500,Organic Search,Android 10.3
501,Apple Ads,IOS 17.1
502,Organic Search,Android 9.3
503,Referral,Android 9.4
504,Referral,Android 9.1
505,Referral,Android 9.2
506,Direct,Android 11.2
507,Referral,IOS 12.2
508,Referral,IOS 15.0
509,Organic Search,IOS 16.3
510,Organic Search,IOS 17.0
511,Direct,IOS 17.5
512,Organic Search,IOS 17.4
513,Organic Search,Android 8.2
514,Referral,Android 9.4
515,Organic Search,Android 9.1
516,Referral,Android 9.0
517,Organic Search,Android 12.0
518,Referral,IOS 15.2
519,Referral,IOS 14.4
520,Organic Search,Android 12.1
521,Direct,IOS 16.0
522,Apple Ads,IOS 12.5
523,Apple Ads,IOS 17.1
524,Meta Ads,IOS 17.4
525,Apple Ads,IOS 16.0
526,Organic Search,Android 10.1
527,Google Ads,Android 9.1
528,Direct,IOS 13.3
529,Google Ads,IOS 13.1
530,Referral,Android 12.0
531,Referral,IOS 18.1
532,Referral,IOS 16.3
533,Direct,Android 12.5
534,Organic Search,IOS 18.3
535,Direct,Android 8.5
536,Referral,Android 10.0
537,Direct,Android 12.3
538,Referral,IOS 12.5
539,Apple Ads,IOS 17.4
540,Direct,Android 9.1
541,Referral,Android 11.4
542,Apple Ads,IOS 18.1
543,Direct,Android 9.3
544,Referral,IOS 17.0
545,Direct,Android 9.3
546,Referral,Android 12.2
547,Organic Search,Android 8.1
548,Referral,Android 9.4
549,Direct,Android 11.4
550,Apple Ads,IOS 17.1
551,Apple Ads,IOS 17.1
552,Meta Ads,IOS 14.0
553,Referral,Android 11.1
554,Direct,Android 11.3
555,Direct,Android 9.5
556,Organic Search,Android 10.0
557,Meta Ads,IOS 15.5
558,Meta Ads,IOS 15.5
559,Google Ads,Android 11.3
560,Meta Ads,Android 10.0
561,Organic Search,IOS 17.1
562,Organic Search,Android 12.2
563,Referral,IOS 12.4
564,Meta Ads,IOS 15.3
565,Referral,Android 12.5
566,Meta Ads,Android 8.4
567,Meta Ads,Android 12.5
568,Direct,Android 11.0
569,Referral,Android 12.5
570,Apple Ads,IOS 17.1
571,Direct,IOS 16.4
572,Direct,IOS 13.5
573,Referral,Android 9.3
574,Organic Search,Android 9.0
575,Referral,IOS 14.4
576,Direct,Android 9.3
577,Referral,IOS 16.1
578,Direct,IOS 15.5
579,Organic Search,Android 8.4
580,Google Ads,Android 9.5
581,Organic Search,IOS 16.0
582,Direct,IOS 16.5
583,Organic Search,Android 9.2
584,Referral,IOS 15.0
585,Apple Ads,IOS 15.4
586,Referral,Android 10.2
587,Google Ads,Android 9.4
588,Google Ads,IOS 14.1
589,Referral,IOS 13.1
590,Google Ads,Android 11.0
591,Direct,Android 10.5
592,Referral,IOS 17.2
593,Google Ads,Android 11.2
594,Organic Search,IOS 18.2
595,Organic Search,Android 11.4
596,Google Ads,IOS 18.1
597,Organic Search,Android 12.1
598,Organic Search,Android 9.0
599,Google Ads,Android 12.4
600,Google Ads,Android 9.1
601,Google Ads,IOS 18.0
602,Organic Search,Android 8.1
603,Organic Search,Android 10.0
604,Google Ads,IOS 12.4
605,Referral,Android 12.4
606,Direct,Android 9.1
607,Organic Search,IOS 12.1
608,Organic Search,IOS 12.4
609,Google Ads,Android 8.3
610,Meta Ads,Android 9.4
611,Direct,Android 9.3
612,Organic Search,IOS 16.5
613,Direct,Android 11.3
614,Direct,Android 11.5
615,Referral,Android 11.0
616,Organic Search,IOS 15.3
617,Direct,Android 11.0
618,Referral,Android 11.3
619,Apple Ads,IOS 17.1
620,Direct,Android 11.4
621,Direct,IOS 12.1
622,Organic Search,IOS 12.1
623,Direct,IOS 17.0
624,Referral,Android 12.1
625,Referral,Android 8.0
626,Referral,Android 9.1
627,Direct,Android 9.3
628,Direct,Android 10.3
629,Direct,IOS 18.1
630,Referral,Android 12.2
631,Referral,IOS 15.1
632,Meta Ads,Android 12.2
633,Referral,Android 9.4
634,Apple Ads,IOS 17.1
635,Organic Search,IOS 18.3
636,Referral,IOS 18.1
637,Apple Ads,IOS 14.1
638,Referral,IOS 17.1
639,Direct,IOS 13.0
640,Referral,Android 9.5
641,Organic Search,Android 9.4
642,Google Ads,IOS 18.3
643,Apple Ads,IOS 17.1
644,Direct,IOS 12.2
645,Referral,IOS 14.4
646,Direct,IOS 14.2
647,Organic Search,Android 9.4
648,Organic Search,Android 8.4
649,Direct,IOS 14.2
650,Meta Ads,Android 8.4
651,Meta Ads,Android 8.3
652,Referral,IOS 14.0
653,Organic Search,IOS 12.0
654,Direct,IOS 14.2
655,Direct,IOS 12.3
656,Referral,Android 10.4
657,Referral,Android 10.3
658,Referral,Android 12.0
659,Direct,Android 10.3
660,Referral,Android 10.4
661,Direct,IOS 16.5
662,Organic Search,IOS 17.5
663,Referral,Android 9.3
664,Referral,IOS 17.5
665,Referral,Android 8.3
666,Direct,IOS 17.1
667,Direct,Android 9.0
668,Apple Ads,IOS 17.1
669,Google Ads,IOS 18.4
670,Direct,Android 12.1
671,Referral,Android 11.2
672,Direct,IOS 17.1
673,Referral,Android 9.5
674,Organic Search,IOS 15.2
675,Organic Search,IOS 13.4
676,Meta Ads,IOS 16.5
677,Direct,IOS 12.5
678,Google Ads,IOS 16.5
679,Google Ads,IOS 12.5
680,Referral,Android 12.3
681,Direct,Android 12.1
682,Referral,Android 10.5
683,Direct,Android 10.4
684,Organic Search,IOS 16.1
685,Referral,Android 12.0
686,Referral,Android 11.0
687,Direct,Android 10.2
688,Organic Search,Android 9.4
689,Meta Ads,Android 11.0
690,Referral,Android 12.1
691,Apple Ads,IOS 14.2
692,Meta Ads,IOS 14.3
693,Organic Search,IOS 16.5
694,Organic Search,IOS 12.5
695,Organic Search,Android 9.4
696,Organic Search,IOS 12.1
697,Direct,Android 10.3
698,Organic Search,Android 9.3
699,Direct,IOS 13.3
700,Organic Search,Android 12.3
701,Referral,IOS 18.1
702,Organic Search,Android 11.1
703,Referral,Android 8.0
704,Referral,Android 8.1
705,Organic Search,Android 10.3
706,Meta Ads,IOS 15.5
707,Organic Search,Android 12.2
708,Apple Ads,IOS 16.2
709,Apple Ads,IOS 14.4
710,Direct,Android 11.2
711,Organic Search,IOS 12.3
712,Organic Search,IOS 14.0
713,Organic Search,Android 11.3
714,Direct,IOS 15.5
715,Direct,IOS 13.0
716,Direct,Android 9.1
717,Organic Search,Android 9.0
718,Apple Ads,IOS 13.5
719,Apple Ads,IOS 16.4
720,Organic Search,Android 12.1
721,Direct,Android 9.3
722,Organic Search,Android 8.4
723,Organic Search,IOS 15.0
724,Google Ads,Android 10.3
725,Meta Ads,Android 11.5
726,Meta Ads,Android 10.0
727,Google Ads,IOS 12.4
728,Organic Search,Android 10.3
729,Meta Ads,IOS 13.4
730,Meta Ads,Android 9.3
731,Referral,Android 8.2
732,Apple Ads,IOS 16.2
733,Direct,IOS 16.0
734,Organic Search,Android 11.2
735,Referral,Android 8.3
736,Organic Search,Android 8.3
737,Organic Search,Android 10.0
738,Direct,Android 10.4
739,Referral,IOS 16.0
740,Apple Ads,IOS 12.2
741,Direct,Android 10.5
742,Direct,Android 10.0
743,Referral,IOS 16.3
744,Organic Search,IOS 18.2
745,Direct,IOS 13.0
746,Organic Search,Android 9.4
747,Apple Ads,IOS 17.1
748,Google Ads,Android 11.3
749,Referral,Android 8.4
750,Referral,Android 12.5
751,Referral,Android 8.5
752,Google Ads,Android 9.4
753,Organic Search,IOS 16.1
754,Organic Search,Android 11.3
755,Referral,Android 12.3
756,Direct,IOS 18.1
757,Direct,Android 11.3
758,Direct,Android 8.4
759,Organic Search,IOS 14.1
760,Meta Ads,IOS 18.1
761,Referral,Android 8.5
762,Referral,Android 9.3
763,Organic Search,Android 8.5
764,Meta Ads,IOS 12.1
765,Google Ads,IOS 15.5
766,Apple Ads,IOS 17.1
767,Organic Search,Android 10.5
768,Direct,Android 9.1
769,Google Ads,Android 12.5
770,Direct,Android 9.5
771,Organic Search,IOS 18.5
772,Apple Ads,IOS 17.1
773,Google Ads,IOS 17.0
774,Google Ads,IOS 18.1
775,Apple Ads,IOS 14.5
776,Google Ads,Android 8.1
777,Referral,Android 9.3
778,Apple Ads,IOS 17.1
779,Referral,Android 8.4
780,Direct,IOS 12.4
781,Organic Search,IOS 13.3
782,Google Ads,IOS 18.5
783,Organic Search,IOS 16.5
784,Organic Search,Android 8.0
785,Organic Search,Android 11.3
786,Apple Ads,IOS 12.2
787,Referral,Android 10.4
788,Direct,IOS 16.5
789,Referral,IOS 16.2
790,Referral,IOS 17.5
791,Referral,Android 10.4
792,Organic Search,IOS 17.1
793,Meta Ads,IOS 12.4
794,Google Ads,IOS 12.3
795,Referral,IOS 16.3
796,Referral,IOS 16.1
797,Apple Ads,IOS 14.1
798,Organic Search,Android 10.0
799,Referral,Android 10.3
800,Direct,Android 12.3
801,Organic Search,Android 12.0
802,Referral,IOS 15.2
803,Referral,Android 9.0
804,Referral,IOS 16.1
805,Apple Ads,IOS 12.5
806,Apple Ads,IOS 16.3
807,Meta Ads,Android 10.5
808,Referral,Android 9.5
809,Organic Search,Android 8.4
810,Referral,IOS 14.4
811,Direct,Android 11.1
812,Direct,IOS 12.2
813,Referral,IOS 12.3
814,Direct,IOS 17.5
815,Direct,Android 12.3
816,Direct,Android 10.4
817,Referral,Android 11.1
818,Direct,IOS 15.3
819,Apple Ads,IOS 15.0
820,Apple Ads,IOS 17.1
821,Apple Ads,IOS 17.1
822,Meta Ads,IOS 16.5
823,Organic Search,Android 8.4
824,Referral,IOS 14.2
825,Direct,Android 10.0
826,Direct,IOS 17.5
827,Referral,IOS 13.1
828,Organic Search,IOS 13.3
829,Apple Ads,IOS 12.1
830,Organic Search,IOS 13.2
831,Direct,Android 12.1
832,Organic Search,Android 10.3
833,Direct,Android 12.3
834,Google Ads,Android 10.5
835,Referral,Android 9.0
836,Referral,IOS 17.3
837,Organic Search,Android 10.1
838,Organic Search,Android 8.0
839,Direct,IOS 12.3
840,Direct,Android 9.4
841,Direct,Android 11.2
842,Referral,IOS 16.5
843,Organic Search,IOS 17.1
844,Direct,IOS 13.2
845,Direct,IOS 18.0
846,Organic Search,Android 10.2
847,Direct,Android 9.1
848,Direct,Android 11.5
849,Direct,IOS 16.0
850,Referral,IOS 17.0
851,Meta Ads,Android 10.5
852,Organic Search,Android 8.1
853,Referral,Android 10.5
854,Referral,Android 9.3
855,Referral,Android 10.5
856,Referral,IOS 12.5
857,Google Ads,IOS 14.3
858,Meta Ads,Android 9.1
859,Direct,Android 10.0
860,Referral,Android 12.5
861,Apple Ads,IOS 17.1
862,Referral,Android 8.4
863,Direct,IOS 17.4
864,Meta Ads,Android 11.0
865,Direct,IOS 15.1
866,Organic Search,Android 9.4
867,Meta Ads,IOS 18.5
868,Google Ads,IOS 17.0
869,Organic Search,Android 11.3
870,Direct,IOS 17.1
871,Meta Ads,IOS 16.1
872,Google Ads,Android 11.4
873,Referral,Android 8.0
874,Direct,Android 8.1
875,Organic Search,IOS 18.1
876,Organic Search,IOS 12.2
877,Direct,IOS 13.3
878,Meta Ads,IOS 13.3
879,Referral,IOS 15.3
880,Referral,Android 8.1
881,Organic Search,Android 8.3
882,Referral,IOS 15.4
883,Google Ads,IOS 12.0
884,Apple Ads,IOS 15.0
885,Organic Search,IOS 13.3
886,Referral,Android 9.2
887,Direct,Android 8.1
888,Referral,IOS 15.1
889,Referral,IOS 16.5
890,Google Ads,IOS 17.0
891,Organic Search,IOS 18.2
892,Referral,IOS 18.0
893,Organic Search,Android 9.5
894,Referral,Android 12.2
895,Direct,IOS 13.5
896,Direct,IOS 14.2
897,Direct,IOS 12.3
898,Referral,IOS 16.2
899,Apple Ads,IOS 12.1
900,Referral,Android 11.2
901,Organic Search,IOS 12.1
902,Direct,Android 9.1
903,Direct,Android 10.0
904,Meta Ads,IOS 15.0
905,Organic Search,Android 9.5
906,Referral,Android 8.2
907,Referral,Android 10.4
908,Direct,Android 10.2
909,Referral,IOS 15.5
910,Direct,IOS 13.0
911,Referral,Android 9.4
912,Referral,IOS 13.1
913,Referral,Android 10.4
914,Direct,Android 11.3
915,Referral,IOS 13.1
916,Referral,IOS 16.3
917,Direct,Android 10.4
918,Direct,Android 12.3
919,Direct,IOS 14.2
920,Organic Search,Android 8.4
921,Direct,IOS 14.3
922,Meta Ads,IOS 12.0
923,Direct,IOS 14.4
924,Organic Search,IOS 16.5
925,Direct,Android 11.2
926,Organic Search,Android 11.3
927,Direct,Android 12.4
928,Referral,Android 12.4
929,Direct,IOS 13.1
930,Direct,IOS 15.2
931,Direct,Android 8.3
932,Meta Ads,IOS 18.2
933,Referral,IOS 18.1
934,Organic Search,IOS 12.2
935,Direct,Android 12.3
936,Apple Ads,IOS 17.1
937,Referral,Android 9.5
938,Organic Search,IOS 16.4
939,Direct,IOS 17.3
940,Direct,Android 9.5
941,Apple Ads,IOS 15.2
942,Direct,IOS 18.2
943,Referral,IOS 12.1
